variable,clay_fraction,clay_fraction,clay_fraction,climate_KG,climate_KG,climate_KG,climate_insitu,climate_insitu,climate_insitu,elevation,elevation,elevation,instrument,instrument,instrument,latitude,latitude,latitude,lc_2000,lc_2000,lc_2000,lc_2005,lc_2005,lc_2005,lc_2010,lc_2010,lc_2010,lc_insitu,lc_insitu,lc_insitu,longitude,longitude,longitude,network,network,network,organic_carbon,organic_carbon,organic_carbon,sand_fraction,sand_fraction,sand_fraction,saturation,saturation,saturation,silt_fraction,silt_fraction,silt_fraction,station,station,station,timerange_from,timerange_from,timerange_from,timerange_to,timerange_to,timerange_to,variable,variable,variable,file_path,file_type
9,0.3,1.0,32.0,,,Aw,,,unknown,,,414.0,0.6,0.6,CS616,,,9.78986,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.3,1.0,0.42,0.3,1.0,43.0,0.3,1.0,0.43,0.3,1.0,25.0,,,Belefoungou-Top,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,0.6,0.6,soil_moisture,AMMA-CATCH/Belefoungou-Top/AMMA-CATCH_AMMA-CATCH_Belefoungou-Top_sm_0.600000_0.600000_CS616_20171005_20190311.stm,header_values
10,0.0,0.3,22.0,,,Aw,,,unknown,,,414.0,0.1,0.1,CS616,,,9.78986,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Belefoungou-Top,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,0.1,0.1,soil_moisture,AMMA-CATCH/Belefoungou-Top/AMMA-CATCH_AMMA-CATCH_Belefoungou-Top_sm_0.100000_0.100000_CS616_20171005_20190311.stm,header_values
11,0.3,1.0,32.0,,,Aw,,,unknown,,,414.0,0.4,0.4,CS616,,,9.78986,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.3,1.0,0.42,0.3,1.0,43.0,0.3,1.0,0.43,0.3,1.0,25.0,,,Belefoungou-Top,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,0.4,0.4,soil_moisture,AMMA-CATCH/Belefoungou-Top/AMMA-CATCH_AMMA-CATCH_Belefoungou-Top_sm_0.400000_0.400000_CS616_20171005_20190311.stm,header_values
12,0.3,1.0,32.0,,,Aw,,,unknown,,,414.0,1.0,1.0,CS616,,,9.78986,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.3,1.0,0.42,0.3,1.0,43.0,0.3,1.0,0.43,0.3,1.0,25.0,,,Belefoungou-Top,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,1.0,1.0,soil_moisture,AMMA-CATCH/Belefoungou-Top/AMMA-CATCH_AMMA-CATCH_Belefoungou-Top_sm_1.000000_1.000000_CS616_20171005_20190311.stm,header_values
13,0.0,0.3,22.0,,,Aw,,,unknown,,,441.0,0.05,0.05,CS616,,,9.7453,,,10,,,10,,,10,,,unknown,,,1.6053,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Nalohou-Mid,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,0.05,0.05,soil_moisture,AMMA-CATCH/Nalohou-Mid/AMMA-CATCH_AMMA-CATCH_Nalohou-Mid_sm_0.050000_0.050000_CS616_20171005_20190311.stm,header_values
14,0.0,0.3,22.0,,,Aw,,,unknown,,,441.0,0.1,0.1,CS616,,,9.7453,,,10,,,10,,,10,,,unknown,,,1.6053,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Nalohou-Mid,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,0.1,0.1,soil_moisture,AMMA-CATCH/Nalohou-Mid/AMMA-CATCH_AMMA-CATCH_Nalohou-Mid_sm_0.100000_0.100000_CS616_20171005_20190311.stm,header_values
15,0.0,0.3,22.0,,,Aw,,,unknown,,,441.0,0.2,0.2,CS616,,,9.7453,,,10,,,10,,,10,,,unknown,,,1.6053,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Nalohou-Mid,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,0.2,0.2,soil_moisture,AMMA-CATCH/Nalohou-Mid/AMMA-CATCH_AMMA-CATCH_Nalohou-Mid_sm_0.200000_0.200000_CS616_20171005_20190311.stm,header_values
16,0.0,0.3,22.0,,,Aw,,,unknown,,,445.0,0.05,0.05,CS616,,,9.74407,,,120,,,120,,,120,,,unknown,,,1.6058,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Nalohou-Top,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,0.05,0.05,soil_moisture,AMMA-CATCH/Nalohou-Top/AMMA-CATCH_AMMA-CATCH_Nalohou-Top_sm_0.050000_0.050000_CS616_20171005_20190311.stm,header_values
17,0.0,0.3,22.0,,,Aw,,,unknown,,,445.0,0.1,0.1,CS616,,,9.74407,,,120,,,120,,,120,,,unknown,,,1.6058,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Nalohou-Top,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,0.1,0.1,soil_moisture,AMMA-CATCH/Nalohou-Top/AMMA-CATCH_AMMA-CATCH_Nalohou-Top_sm_0.100000_0.100000_CS616_20171005_20190311.stm,header_values
18,0.0,0.3,22.0,,,Aw,,,unknown,,,445.0,0.2,0.2,CS616,,,9.74407,,,120,,,120,,,120,,,unknown,,,1.6058,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Nalohou-Top,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,0.2,0.2,soil_moisture,AMMA-CATCH/Nalohou-Top/AMMA-CATCH_AMMA-CATCH_Nalohou-Top_sm_0.200000_0.200000_CS616_20171005_20190311.stm,header_values
19,0.3,1.0,32.0,,,Aw,,,unknown,,,445.0,1.0,1.0,CS616,,,9.74407,,,120,,,120,,,120,,,unknown,,,1.6058,,,AMMA-CATCH,0.3,1.0,0.42,0.3,1.0,43.0,0.3,1.0,0.43,0.3,1.0,25.0,,,Nalohou-Top,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,1.0,1.0,soil_moisture,AMMA-CATCH/Nalohou-Top/AMMA-CATCH_AMMA-CATCH_Nalohou-Top_sm_1.000000_1.000000_CS616_20171005_20190311.stm,header_values
20,0.0,0.3,5.0,,,BSh,,,unknown,,,235.0,0.1,0.4,CS616,,,13.548,,,10,,,10,,,10,,,unknown,,,2.6956,,,AMMA-CATCH,0.0,0.3,0.35,0.0,0.3,90.0,0.0,0.3,0.42,0.0,0.3,5.0,,,Tondikiboro,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.1,0.4,soil_moisture,AMMA-CATCH/Tondikiboro/AMMA-CATCH_AMMA-CATCH_Tondikiboro_sm_0.100000_0.400000_CS616_20171005_20190311.stm,header_values
21,0.3,1.0,8.0,,,BSh,,,unknown,,,235.0,0.4,0.7,CS616,,,13.548,,,10,,,10,,,10,,,unknown,,,2.6956,,,AMMA-CATCH,0.3,1.0,0.2,0.3,1.0,87.0,0.3,1.0,0.41,0.3,1.0,5.0,,,Tondikiboro,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.4,0.7,soil_moisture,AMMA-CATCH/Tondikiboro/AMMA-CATCH_AMMA-CATCH_Tondikiboro_sm_0.400000_0.700000_CS616_20171005_20190311.stm,header_values
22,0.3,1.0,8.0,,,BSh,,,unknown,,,235.0,0.7,1.0,CS616,,,13.548,,,10,,,10,,,10,,,unknown,,,2.6956,,,AMMA-CATCH,0.3,1.0,0.2,0.3,1.0,87.0,0.3,1.0,0.41,0.3,1.0,5.0,,,Tondikiboro,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.7,1.0,soil_moisture,AMMA-CATCH/Tondikiboro/AMMA-CATCH_AMMA-CATCH_Tondikiboro_sm_0.700000_1.000000_CS616_20171005_20190311.stm,header_values
23,,,,,,BSh,,,unknown,,,235.0,1.05,1.35,CS616,,,13.548,,,10,,,10,,,10,,,unknown,,,2.6956,,,AMMA-CATCH,,,,,,,,,,,,,,,Tondikiboro,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,1.05,1.35,soil_moisture,AMMA-CATCH/Tondikiboro/AMMA-CATCH_AMMA-CATCH_Tondikiboro_sm_1.050000_1.350000_CS616_20171005_20190311.stm,header_values
24,0.0,0.3,5.0,,,BSh,,,unknown,,,235.0,0.05,0.05,CS616-1,,,13.548,,,10,,,10,,,10,,,unknown,,,2.6956,,,AMMA-CATCH,0.0,0.3,0.35,0.0,0.3,90.0,0.0,0.3,0.42,0.0,0.3,5.0,,,Tondikiboro,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.05,0.05,soil_moisture,AMMA-CATCH/Tondikiboro/AMMA-CATCH_AMMA-CATCH_Tondikiboro_sm_0.050000_0.050000_CS616-1_20171005_20190311.stm,header_values
25,0.0,0.3,5.0,,,BSh,,,unknown,,,235.0,0.05,0.05,CS616-2,,,13.548,,,10,,,10,,,10,,,unknown,,,2.6956,,,AMMA-CATCH,0.0,0.3,0.35,0.0,0.3,90.0,0.0,0.3,0.42,0.0,0.3,5.0,,,Tondikiboro,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.05,0.05,soil_moisture,AMMA-CATCH/Tondikiboro/AMMA-CATCH_AMMA-CATCH_Tondikiboro_sm_0.050000_0.050000_CS616-2_20171005_20190311.stm,header_values
26,0.0,0.3,5.0,,,BSh,,,unknown,,,230.0,0.1,0.4,CS616,,,13.6456,,,10,,,10,,,10,,,unknown,,,2.632,,,AMMA-CATCH,0.0,0.3,0.35,0.0,0.3,90.0,0.0,0.3,0.42,0.0,0.3,5.0,,,Wankama,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.1,0.4,soil_moisture,AMMA-CATCH/Wankama/AMMA-CATCH_AMMA-CATCH_Wankama_sm_0.100000_0.400000_CS616_20171005_20190311.stm,header_values
27,0.3,1.0,8.0,,,BSh,,,unknown,,,230.0,0.4,0.7,CS616,,,13.6456,,,10,,,10,,,10,,,unknown,,,2.632,,,AMMA-CATCH,0.3,1.0,0.2,0.3,1.0,87.0,0.3,1.0,0.41,0.3,1.0,5.0,,,Wankama,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.4,0.7,soil_moisture,AMMA-CATCH/Wankama/AMMA-CATCH_AMMA-CATCH_Wankama_sm_0.400000_0.700000_CS616_20171005_20190311.stm,header_values
28,0.3,1.0,8.0,,,BSh,,,unknown,,,230.0,0.7,1.0,CS616,,,13.6456,,,10,,,10,,,10,,,unknown,,,2.632,,,AMMA-CATCH,0.3,1.0,0.2,0.3,1.0,87.0,0.3,1.0,0.41,0.3,1.0,5.0,,,Wankama,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.7,1.0,soil_moisture,AMMA-CATCH/Wankama/AMMA-CATCH_AMMA-CATCH_Wankama_sm_0.700000_1.000000_CS616_20171005_20190311.stm,header_values
29,0.3,1.0,8.0,,,BSh,,,unknown,,,230.0,1.0,1.3,CS616,,,13.6456,,,10,,,10,,,10,,,unknown,,,2.632,,,AMMA-CATCH,0.3,1.0,0.2,0.3,1.0,87.0,0.3,1.0,0.41,0.3,1.0,5.0,,,Wankama,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,1.0,1.3,soil_moisture,AMMA-CATCH/Wankama/AMMA-CATCH_AMMA-CATCH_Wankama_sm_1.000000_1.300000_CS616_20171005_20190311.stm,header_values
30,0.0,0.3,5.0,,,BSh,,,unknown,,,230.0,0.05,0.05,CS616-1,,,13.6456,,,10,,,10,,,10,,,unknown,,,2.632,,,AMMA-CATCH,0.0,0.3,0.35,0.0,0.3,90.0,0.0,0.3,0.42,0.0,0.3,5.0,,,Wankama,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.05,0.05,soil_moisture,AMMA-CATCH/Wankama/AMMA-CATCH_AMMA-CATCH_Wankama_sm_0.050000_0.050000_CS616-1_20171005_20190311.stm,header_values
31,0.0,0.3,5.0,,,BSh,,,unknown,,,230.0,0.05,0.05,CS616-2,,,13.6456,,,10,,,10,,,10,,,unknown,,,2.632,,,AMMA-CATCH,0.0,0.3,0.35,0.0,0.3,90.0,0.0,0.3,0.42,0.0,0.3,5.0,,,Wankama,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.05,0.05,soil_moisture,AMMA-CATCH/Wankama/AMMA-CATCH_AMMA-CATCH_Wankama_sm_0.050000_0.050000_CS616-2_20171005_20190311.stm,header_values
32,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.025,0.025,SMP1-A,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.025,0.025,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.025000_0.025000_SMP1-A_20171005_20190311.stm,header_values
33,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.025,0.025,SMP1-B,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.025,0.025,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.025000_0.025000_SMP1-B_20171005_20190311.stm,header_values
34,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.025,0.025,SMP1-C,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.025,0.025,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.025000_0.025000_SMP1-C_20171005_20190311.stm,header_values
35,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.05,0.05,Hydraprobe-II-Sdi-12-W,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.050000_0.050000_Hydraprobe-II-Sdi-12-W_20171005_20190311.stm,header_values
36,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.1,0.1,Hydraprobe-II-Sdi-12-W,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.100000_0.100000_Hydraprobe-II-Sdi-12-W_20171005_20190311.stm,header_values
37,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.2,0.2,Hydraprobe-II-Sdi-12-W,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.200000_0.200000_Hydraprobe-II-Sdi-12-W_20171005_20190311.stm,header_values
38,0.3,1.0,29.0,,,Cfa,,,unknown,,,412.0,0.5,0.5,Hydraprobe-II-Sdi-12-W,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.3,1.0,0.57,0.3,1.0,29.0,0.3,1.0,0.44,0.3,1.0,42.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.5,0.5,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.500000_0.500000_Hydraprobe-II-Sdi-12-W_20171005_20190311.stm,header_values
39,0.3,1.0,29.0,,,Cfa,,,unknown,,,412.0,0.8,0.8,Hydraprobe-II-Sdi-12-W,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.3,1.0,0.57,0.3,1.0,29.0,0.3,1.0,0.44,0.3,1.0,42.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.8,0.8,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.800000_0.800000_Hydraprobe-II-Sdi-12-W_20171005_20190311.stm,header_values
40,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.05,0.05,Hydraprobe-II-Sdi-12-S,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.050000_0.050000_Hydraprobe-II-Sdi-12-S_20171005_20190311.stm,header_values
41,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.1,0.1,Hydraprobe-II-Sdi-12-S,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.100000_0.100000_Hydraprobe-II-Sdi-12-S_20171005_20190311.stm,header_values
42,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.2,0.2,Hydraprobe-II-Sdi-12-S,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.200000_0.200000_Hydraprobe-II-Sdi-12-S_20171005_20190311.stm,header_values
43,0.3,1.0,29.0,,,Cfa,,,unknown,,,412.0,0.5,0.5,Hydraprobe-II-Sdi-12-S,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.3,1.0,0.57,0.3,1.0,29.0,0.3,1.0,0.44,0.3,1.0,42.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.5,0.5,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.500000_0.500000_Hydraprobe-II-Sdi-12-S_20171005_20190311.stm,header_values
44,0.3,1.0,29.0,,,Cfa,,,unknown,,,412.0,0.8,0.8,Hydraprobe-II-Sdi-12-S,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.3,1.0,0.57,0.3,1.0,29.0,0.3,1.0,0.44,0.3,1.0,42.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.8,0.8,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.800000_0.800000_Hydraprobe-II-Sdi-12-S_20171005_20190311.stm,header_values
45,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.05,0.05,Hydraprobe-II-Sdi-12-E,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.050000_0.050000_Hydraprobe-II-Sdi-12-E_20171005_20190311.stm,header_values
46,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.1,0.1,Hydraprobe-II-Sdi-12-E,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.100000_0.100000_Hydraprobe-II-Sdi-12-E_20171005_20190311.stm,header_values
47,0.0,0.3,23.0,,,Cfa,,,unknown,,,412.0,0.2,0.2,Hydraprobe-II-Sdi-12-E,,,37.2134,,,10,,,10,,,10,,,unknown,,,-98.0969,,,ARM,0.0,0.3,1.27,0.0,0.3,36.0,0.0,0.3,0.46,0.0,0.3,41.0,,,Anthony,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,ARM/Anthony/ARM_ARM_Anthony_sm_0.200000_0.200000_Hydraprobe-II-Sdi-12-E_20171005_20190311.stm,header_values
